,tag,team_name,performance_id,game_id,player_id,shots,goals,saves,assists,score,mvp,shooting_percentage,bpm,bcpm,avg_amount,amount_collected,amount_stolen,amount_collected_big,amount_stolen_big,amount_collected_small,amount_stolen_small,count_collected_big,count_stolen_big,count_collected_small,count_stolen_small,amount_overfill,amount_overfill_stolen,amount_used_while_supersonic,time_zero_boost,percent_zero_boost,time_full_boost,percent_full_boost,time_boost_0_25,time_boost_25_50,time_boost_50_75,time_boost_75_100,percent_boost_0_25,percent_boost_25_50,percent_boost_50_75,percent_boost_75_100,avg_speed,total_distance,time_supersonic_speed,time_boost_speed,time_slow_speed,time_ground,time_low_air,time_high_air,time_powerslide,count_powerslide,avg_powerslide_duration,avg_speed_percentage,percent_slow_speed,percent_boost_speed,percent_supersonic_speed,percent_ground,percent_low_air,percent_high_air,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,inflicted,taken,car_id,roster_id,match_id,join_id,goal_participation
0,2Piece,RANDOMS,1849.7586206896551,308.13793103448273,28.0,2.3448275862068964,0.5517241379310345,1.9310344827586208,0.41379310344827586,374.51724137931035,0.13793103448275862,21.264367586206895,435.9655172413793,445.740908275862,46.931034482758626,2638.9655172413795,432.2413793103448,1838.896551724138,223.6551724137931,800.0689655172414,208.58620689655172,21.379310344827587,2.5517241379310347,69.17241379310344,17.517241379310345,308.0,35.172413793103445,352.7586206896552,51.800689655172405,14.641775068965515,42.62068965517241,11.795218562068968,139.3203448275862,72.44586206896552,59.21862068965517,87.82551724137932,39.33791506896552,20.312416379310346,16.210412241379306,24.139255862068964,1576.3793103448277,547272.9310344828,71.30724137931036,135.81034482758622,157.13379310344826,189.9786206896552,151.31758620689652,22.957241379310343,10.956206896551723,90.72413793103448,0.12172413793103448,68.53823068965518,42.92118851724138,37.382793586206894,19.696019413793103,52.209458103448284,41.48319803448274,6.307344196551724,2998.137931034483,2877.6206896551726,3106.7586206896553,3709.4827586206898,183.93275862068964,122.3158620689655,58.002413793103464,250.83827586206894,113.41310344827586,268.866551724138,95.3851724137931,124.63793103448278,117.1689655172414,0.7586206896551724,112.3896551724138,133.68965517241378,50.3884634137931,16.074193586206896,33.53734372413793,68.7282829310345,31.271716999999995,73.54316593103447,26.45683355172413,34.889880827586204,33.045494000000005,31.581098310344824,37.44795206896553,0.4482758620689655,1.2758620689655173,23.0,9.0,69.24137931034483,28.0,0.5603448275862069
1,AYYJAYY,FAZE CLAN,30795.926365795724,5005.0332541567695,0.0,3.263657957244656,0.7648456057007126,1.7292161520190024,0.5605700712589073,392.541567695962,0.171021377672209,22.930475159144912,423.74821852731594,428.0857880997626,46.81071258907364,2550.5890736342044,614.0451306413302,1830.8907363420428,388.4394299287411,719.6983372921616,225.60570071258908,21.790973871733968,4.441805225653207,58.475059382422806,18.351543942992873,348.29928741092635,55.07600950118765,279.646080760095,47.31042755344423,13.175507002256538,35.85812351543942,10.031606460095016,136.2578384798099,72.07168646080763,58.235819477434674,91.23543942992873,38.00579578859854,20.189663625890713,16.31454173634205,25.489999052256554,1526.1591448931117,532891.3871733967,53.131496437054636,145.91372921615195,169.26513064133022,202.06916864608093,141.7896912114015,24.45128266033253,11.441520190023766,99.58907363420427,0.11517814726840846,66.35474536342043,45.87857509026126,39.64591799524943,14.475506948931118,54.83303640142517,38.53960699287411,6.627356534441796,2733.980997624703,2604.4109263657956,2870.5914489311162,3611.7790973871734,166.59999999999985,121.6020427553444,80.1084798099762,229.89662707838494,138.41339667458433,270.13638954869356,98.17368171021374,124.10000000000008,115.96152019002376,0.5558194774346793,121.1456057007127,115.93966745843225,45.15601065320668,21.796138456057,33.047850693586724,62.33550591686455,37.66449412826605,73.34033207600952,26.659667779097415,34.715846315914476,32.39781906888363,33.84240132541568,32.36540847980995,0.995249406175772,1.2042755344418052,25.707838479809975,462.20902612826603,1192.211401425178,0.0,0.5307657504807148
2,AYYJAYY,THE PEEPS,79150.54222222223,12882.977777777778,0.0,3.022222222222222,0.8177777777777778,1.8622222222222222,0.4266666666666667,409.08,0.26222222222222225,26.078306626666677,398.14666666666665,400.9455334666665,47.40102222222223,2392.031111111111,554.7644444444444,1707.9733333333334,362.1333333333333,684.0577777777778,192.63111111111112,20.795555555555556,4.195555555555556,55.59111111111111,15.63111111111111,373.26666666666665,57.68888888888889,238.6,48.15582222222224,13.468088645333333,38.03635555555558,10.642076718666662,135.65586666666667,72.77977777777781,56.11600000000001,93.93222222222222,37.742481635555556,20.32256581555556,15.626673671111103,26.308279115555553,1468.1155555555556,514188.8622222222,44.81226666666667,140.40168888888883,183.01537777777781,205.9257333333333,137.90208888888887,24.401555555555575,10.41306666666667,87.84,0.11826666666666674,63.83111095111112,49.7343869866667,38.08318312,12.18242967466667,55.96315562666665,37.41695599111109,6.619888472888886,2736.8755555555554,2624.6755555555555,2850.248888888889,3560.5466666666666,177.68328888888897,117.57488888888884,72.97106666666667,240.21897777777787,128.01026666666667,275.26506666666677,92.96448888888884,125.5568888888888,115.88044444444449,0.6355555555555555,123.39111111111106,115.1066666666667,48.15343820444443,19.89347534222224,31.95308672000001,65.12954436444443,34.870455399999976,74.72464806222217,25.275351786666665,35.12773435111112,32.35483524,34.440939093333334,32.25256966666666,0.6977777777777778,1.0622222222222222,516.96,1479.1866666666667,3086.4577777777777,0.0,0.551379188712522
3,Accro,WYLDE,10914.833333333334,1818.5,164.0,1.6666666666666667,0.16666666666666666,1.5,0.3333333333333333,255.66666666666666,0.0,5.555555333333333,372.8333333333333,399.75491166666666,44.181666666666665,2261.6666666666665,543.5,1556.3333333333333,330.5,705.3333333333334,213.0,18.666666666666668,4.166666666666667,60.666666666666664,19.166666666666668,305.1666666666667,87.5,281.6666666666667,51.645,15.229874333333333,53.19833333333333,15.625866499999999,132.4033333333333,84.65833333333332,55.38833333333334,75.44166666666668,37.99925283333334,24.300173333333333,15.939059,21.7615205,1519.0,504781.1666666667,49.88999999999999,132.86666666666665,170.5583333333333,202.33333333333334,131.63666666666668,19.343333333333334,5.846666666666667,52.333333333333336,0.11166666666666668,66.04347866666666,48.25892283333334,37.64833533333333,14.092741666666667,57.29236316666667,37.235428000000006,5.472210333333333,3024.1666666666665,2920.6666666666665,3100.0,3727.6666666666665,164.095,116.44166666666668,72.78166666666667,225.04833333333332,128.27,242.07666666666668,111.24000000000001,121.56666666666666,120.75,0.8333333333333334,106.65000000000002,125.88333333333334,46.382451,20.58822066666667,33.029327333333335,63.65768933333334,36.34231166666667,68.6087495,31.391251333333333,35.95325283333333,35.523873,31.409387,37.16221633333333,2.1666666666666665,0.6666666666666666,23.0,101.0,411.0,164.0,0.25
4,AcroniK,BS+COMPETITION,87931.10638297872,14651.340425531915,111.0,3.893617021276596,0.9148936170212766,1.6595744680851063,0.5957446808510638,453.7659574468085,0.23404255319148937,27.219075106382977,415.7659574468085,422.35968957446806,47.24723404255319,2759.6382978723404,591.8297872340426,2062.8297872340427,398.74468085106383,696.8085106382979,193.08510638297872,23.5531914893617,4.553191489361702,59.38297872340426,16.425531914893618,290.4255319148936,56.38297872340426,455.4255319148936,57.98702127659573,14.568658363829789,38.49489361702128,9.99054104893617,149.37106382978723,87.75638297872341,66.65787234042556,93.39340425531914,37.66409480851064,22.354756659574473,16.65019977659574,23.330948659574464,1556.9787234042553,601997.340425532,72.87382978723404,152.50191489361706,180.10851063829793,223.04000000000002,151.40808510638294,31.035957446808506,7.6382978723404245,81.06382978723404,0.09361702127659575,67.69472685106383,44.80800578723405,37.21281582978723,17.979177489361703,55.14092759574468,37.3873645106383,7.471707689361701,3043.6170212765956,2889.4893617021276,3192.0425531914893,3910.6170212765956,186.36255319148935,131.2063829787234,87.91531914893618,257.47404255319145,148.0087234042553,295.4853191489362,109.99978723404253,128.36808510638303,137.35106382978722,0.6382978723404256,134.51276595744685,131.636170212766,46.4418455744681,21.24309244680851,32.31506159574467,64.05403840425532,35.9459615106383,72.9597724680851,27.04022721276595,32.72951921276596,34.58675712765957,33.93424531914894,33.47430210638298,1.0212765957446808,1.2553191489361701,1292.2340425531916,1617.0,3518.8936170212764,111.0,0.5992907801418441
5,AcroniK,GODSMILLA'S TEAM,91201.125,15196.416666666666,111.0,3.25,0.7083333333333334,2.1041666666666665,0.5208333333333334,439.4791666666667,0.2708333333333333,18.958333125,437.6875,441.4682945833333,46.98208333333334,2810.7083333333335,537.3541666666666,2155.9583333333335,369.3958333333333,654.75,167.95833333333334,24.6875,4.166666666666667,53.25,13.625,305.25,44.6875,505.7083333333333,61.47208333333333,16.079351270833342,41.23020833333334,10.78255795,151.74125000000006,72.86333333333333,62.89291666666668,94.85520833333335,39.95763714583333,18.969210208333333,16.440309041666662,24.63284327083333,1589.1041666666667,593377.2083333334,80.27354166666667,145.0541666666667,165.57000000000005,218.3570833333333,142.75750000000002,29.78291666666667,8.837083333333338,94.16666666666667,0.09374999999999999,69.09148541666664,42.321649229166674,37.07526693750001,20.603082895833335,55.88229783333333,36.551943645833326,7.565758433333333,3073.2708333333335,2859.7291666666665,3279.1041666666665,3923.5416666666665,190.15791666666667,124.13166666666672,76.6075,258.3114583333333,132.58541666666665,286.44270833333337,104.45583333333332,125.49999999999999,133.3291666666667,0.5416666666666666,127.89791666666666,133.28958333333333,48.54663910416668,19.823385958333336,31.629973791666668,65.86882910416668,34.13117058333333,73.13078491666668,26.869214895833323,32.83954510416666,34.9986330625,33.700728791666656,34.78193939583333,1.0833333333333333,1.1041666666666667,23.0,1653.0,3646.8541666666665,111.0,0.548263888888889
6,AcroniK,STEALTH7 ESPORTS,95040.23076923077,15835.76923076923,111.0,2.0,0.7692307692307693,1.1538461538461537,0.46153846153846156,360.7692307692308,0.0,35.25640984615384,430.46153846153845,433.30676,46.82846153846154,2653.230769230769,475.0,2022.2307692307693,313.2307692307692,631.0,161.76923076923077,23.923076923076923,3.6923076923076925,52.15384615384615,13.538461538461538,362.3076923076923,58.38461538461539,475.61538461538464,59.440000000000005,16.63191223076923,35.39230769230769,9.654662576923077,155.63846153846154,65.45307692307694,59.29538461538462,88.07846153846154,42.25886200000001,17.70105530769231,16.139951615384614,23.900131692307692,1610.5384615384614,574159.6923076923,72.74846153846154,151.50230769230768,151.88,206.3792307692308,141.52153846153848,28.23076923076923,8.28076923076923,77.07692307692308,0.10615384615384618,70.02341153846154,40.27945815384615,40.496329307692314,19.224213769230765,54.93296907692307,37.72513392307692,7.3418974769230765,2880.3846153846152,2622.846153846154,3094.4615384615386,3804.3846153846152,187.26769230769236,121.71230769230768,67.14923076923077,254.18769230769234,121.93999999999998,263.79076923076923,112.33923076923078,108.84615384615384,125.4076923076923,0.8461538461538461,122.9,113.86923076923078,49.416501923076936,17.97926069230769,32.60423776923077,67.23953053846154,32.760467923076924,70.39589346153846,29.60410653846154,29.96918453846154,33.98429807692308,33.67509753846154,30.996295153846155,1.0769230769230769,1.2307692307692308,23.0,1677.0,3799.0,111.0,0.6538461538461539
7,AcroniK,TEAM LIQUID,21029.272727272728,3503.534090909091,111.0,3.022727272727273,0.6704545454545454,1.5,0.4318181818181818,367.57954545454544,0.17045454545454544,21.20806255681818,473.6931818181818,480.5799420454545,45.29227272727274,2872.318181818182,615.2840909090909,2167.931818181818,400.8181818181818,704.3863636363636,214.4659090909091,24.602272727272727,4.4772727272727275,58.92045454545455,17.75,286.625,42.17045454545455,552.2045454545455,60.701818181818155,16.946138596590906,32.234772727272734,9.039212678409092,152.12988636363644,77.03511363636366,56.6961363636364,76.56749999999997,42.109572352272714,21.252049761363637,15.549854812500007,21.08852363522727,1624.659090909091,571783.6818181818,82.14750000000005,139.9184090909091,148.52965909090915,207.08545454545458,137.49875,26.010568181818176,8.386022727272724,83.94318181818181,0.09988636363636356,70.63735186363637,39.97762013636364,37.762443113636365,22.259937011363636,55.81651764772728,37.147785443181824,7.0356971829545465,2951.5113636363635,2817.5113636363635,3083.75,3718.590909090909,172.8885227272727,117.54931818181821,80.15875,235.99909090909088,134.59693181818184,265.81068181818176,104.78511363636359,126.71590909090902,117.23750000000001,0.7045454545454546,113.85000000000001,129.9965909090909,46.61955475,21.734147914772727,31.64629773863635,63.60463375000002,36.395366613636384,71.77242546590911,28.22757484090908,35.125478068181806,32.528671659090904,31.677049125000007,36.036572852272734,0.9772727272727273,1.125,23.0,85.625,821.25,111.0,0.5022727272727273
8,Adverse,RADIANT,74544.83333333333,12420.833333333334,861.0,3.4166666666666665,0.6666666666666666,1.3333333333333333,0.75,363.0,0.3333333333333333,21.11111083333333,378.5833333333333,385.9892641666667,42.211666666666666,2145.3333333333335,523.5,1539.5,325.5833333333333,605.8333333333334,197.91666666666666,17.333333333333332,3.9166666666666665,52.583333333333336,16.416666666666668,184.91666666666666,59.916666666666664,248.83333333333334,58.32833333333334,17.502930208333336,34.41583333333333,10.324955316666667,139.05416666666667,82.03916666666666,47.81666666666666,68.41416666666666,41.30629083333333,24.333756000000005,14.160728541666666,20.199223916666664,1566.6666666666667,511124.6666666667,51.4625,145.21416666666664,150.21583333333334,188.11499999999998,140.11916666666667,18.658333333333335,10.172500000000001,103.5,0.09749999999999999,68.115942,43.25193233333332,41.907869999999996,14.840195166666666,54.22149375000001,40.39857766666667,5.379928558333333,2794.9166666666665,2668.4166666666665,2924.0,3710.75,153.9825,122.54,70.37083333333334,219.82250000000002,127.07166666666667,245.71,101.1825,100.46666666666668,119.0,0.5833333333333334,120.39166666666665,103.89166666666665,44.3082075,20.308675500000003,35.383117,63.30843625,36.691565999999995,70.830224,29.169777416666673,30.143928166666665,35.70462491666667,36.12811541666667,31.184921666666668,0.6666666666666666,0.8333333333333334,403.0,1520.0,2975.25,861.0,0.5027777777777779
9,Adverse,THE FIRST GRADERS,83370.19047619047,13891.380952380952,861.0,3.142857142857143,0.5714285714285714,1.619047619047619,0.5238095238095238,368.95238095238096,0.09523809523809523,16.03174580952381,378.57142857142856,377.3258138095238,42.0652380952381,2360.8571428571427,634.8095238095239,1623.3333333333333,410.04761904761904,737.5238095238095,224.76190476190476,18.095238095238095,4.714285714285714,62.61904761904762,18.38095238095238,178.47619047619048,58.476190476190474,319.1904761904762,62.87952380952381,16.711417571428576,33.12142857142857,8.82960815238095,163.1852380952381,83.04666666666667,56.29238095238096,74.64714285714285,43.33741080952381,21.9953015,14.954826166666665,19.712460333333336,1555.857142857143,572066.4285714285,52.94857142857142,166.86714285714282,166.99714285714288,214.66666666666666,148.07904761904766,24.06809523809524,11.142380952380952,110.0,0.10333333333333335,67.64596238095238,43.38636857142857,42.827592857142854,13.786038476190475,55.51453985714286,38.30497633333333,6.180482438095239,2809.5714285714284,2659.4761904761904,2950.0476190476193,3542.8571428571427,173.60857142857142,132.46142857142854,80.74333333333334,243.02523809523808,143.7885714285714,263.08238095238096,123.73285714285716,115.20000000000003,141.2571428571429,0.8095238095238095,124.34761904761906,131.7904761904762,45.0743261904762,20.760618285714287,34.16505695238096,62.95527828571429,37.044722,67.91118304761906,32.08881738095238,31.000046285714287,37.46667238095238,32.87851142857143,35.341718571428565,0.6190476190476191,1.1904761904761905,23.0,1592.0,3335.0476190476193,861.0,0.5222222222222223
